events,date
,2023-10-24
"[{'type': '质押', 'offset': [37, 39], 'trigger': '质押', 'arguments': [{'mention': '2023年10月19日', 'offset': [0, 11], 'role': '时间'}, {'mention': '碳排放权', 'offset': [33, 37], 'role': '质押-collateral'}, {'mention': '兴业银行乌鲁木齐分行', 'offset': [12, 22], 'role': '质押-sub-org'}]}]",
,2023-10-23
[],
,2023-10-23
[],
,2023-10-23
"[{'type': '通知/提醒', 'offset': [360, 369], 'trigger': 'announced', 'arguments': [{'mention': 'today', 'offset': [370, 375], 'role': 'time'}]}]",
,2023-10-20
"[{'type': '投资', 'offset': [46, 48], 'trigger': '投资', 'arguments': [{'mention': '盈和海风电场', 'offset': [216, 222], 'role': '股份股权转让-target-company'}, {'mention': '10月18日', 'offset': [0, 6], 'role': '股份股权转让-date'}, {'mention': '81.01亿元', 'offset': [75, 82], 'role': '股份股权转让-money'}, {'mention': '国家电投广东公司', 'offset': [124, 132], 'role': '股份股权转让-obj-org'}]}, {'type': '股份股权转让', 'offset': [27, 29], 'trigger': '发行', 'arguments': [{'mention': '81.01亿元', 'offset': [75, 82], 'role': '股份股权转让-money'}, {'mention': '国家电投广东公司', 'offset': [124, 132], 'role': '股份股权转让-obj-org'}, {'mention': '10月18日', 'offset': [0, 6], 'role': '股份股权转让-date'}, {'mention': '盈和海风电场', 'offset': [216, 222], 'role': '股份股权转让-target-company'}]}]",
,2023-10-20
"[{'type': '放贷', 'offset': [24, 26], 'trigger': '贷款', 'arguments': [{'mention': '湖南星邦智能装备股份有限公司二期综合厂房2.2MW、四期剪叉结构件车间3.00025MW屋顶光伏发电项目', 'offset': [56, 108], 'role': '投资-obj'}, {'mention': '兴业银行长沙分行', 'offset': [3, 11], 'role': '投资-sub'}]}]",
,2023-10-20
"[{'type': '提供', 'offset': [127, 129], 'trigger': '提供', 'arguments': [{'mention': '1.6亿美元', 'offset': [20, 26], 'role': '投资-money'}, {'mention': '亚洲开发银行', 'offset': [0, 6], 'role': '投资-sub'}, {'mention': '山西省低碳和包容性乡村发展项目', 'offset': [40, 55], 'role': '投资-obj'}, {'mention': '10月19', 'offset': [6, 11], 'role': '投资-date'}]}, {'type': '同意/接受', 'offset': [16, 18], 'trigger': '批准', 'arguments': [{'mention': '亚洲开发银行', 'offset': [0, 6], 'role': '投资-sub'}, {'mention': '山西省低碳和包容性乡村发展项目', 'offset': [40, 55], 'role': '投资-obj'}, {'mention': '1.6亿美元', 'offset': [20, 26], 'role': '投资-money'}, {'mention': '10月19', 'offset': [6, 11], 'role': '投资-date'}]}, {'type': '帮助/救助', 'offset': [31, 33], 'trigger': '支持', 'arguments': [{'mention': '亚洲开发银行', 'offset': [0, 6], 'role': '投资-sub'}, {'mention': '山西省低碳和包容性乡村发展项目', 'offset': [40, 55], 'role': '投资-obj'}, {'mention': '10月19', 'offset': [6, 11], 'role': '投资-date'}, {'mention': '1.6亿美元', 'offset': [20, 26], 'role': '投资-money'}]}]",
,2023-10-20
"[{'type': '通知/提醒', 'offset': [86, 88], 'trigger': '警告', 'arguments': [{'mention': '美国多地极端天气', 'offset': [14, 22], 'role': '发布产品'}, {'mention': '美国财政部长耶伦', 'offset': [68, 76], 'role': '发布方'}, {'mention': '当地时间7日', 'offset': [77, 83], 'role': '时间'}]}, {'type': '灾害/意外洪灾', 'offset': [249, 251], 'trigger': '洪水', 'arguments': [{'mention': '美国财政部长耶伦', 'offset': [68, 76], 'role': '发布方'}, {'mention': '当地时间7日', 'offset': [77, 83], 'role': '时间'}, {'mention': '美国多地极端天气', 'offset': [14, 22], 'role': '发布产品'}]}]",
,2023-10-19
"[{'type': '支付/给付', 'offset': [248, 250], 'trigger': '结算', 'arguments': [{'mention': '第十三届中国·武汉金融博览会中国碳金融高峰论坛', 'offset': [8, 31], 'role': '活动名称'}, {'mention': '10月17日', 'offset': [0, 6], 'role': '时间'}, {'mention': '湖北碳排放权交易中心', 'offset': [229, 239], 'role': '地点'}]}]",
,2023-10-19
[],
,2023-10-19
[],
,2023-10-19
"[{'type': '支付/给付', 'offset': [64, 66], 'trigger': '发行', 'arguments': [{'mention': '10月16日', 'offset': [22, 28], 'role': '投资-date'}, {'mention': '熊猫债', 'offset': [78, 81], 'role': '投资-obj'}]}, {'type': '帮助/救助', 'offset': [48, 50], 'trigger': '协助', 'arguments': [{'mention': '熊猫债', 'offset': [78, 81], 'role': '投资-obj'}, {'mention': '10月16日', 'offset': [22, 28], 'role': '投资-date'}]}]",
,2023-10-19
"[{'type': '介绍/引荐', 'offset': [38, 40], 'trigger': '发表', 'arguments': [{'mention': '上海', 'offset': [103, 105], 'role': '地点'}, {'mention': '全球资产管理中心·上海国际活动周2023系列活动之一', 'offset': [94, 120], 'role': '活动名称'}, {'mention': '10月18日', 'offset': [0, 6], 'role': '时间'}]}]",
,2023-10-19
"[{'type': '要求/请求', 'offset': [2, 4], 'trigger': '嘱托', 'arguments': [{'mention': '广州行动系统', 'offset': [240, 246], 'role': '活动名称'}, {'mention': '广州', 'offset': [240, 242], 'role': '地点'}]}]",
,2023-10-18
"[{'type': '介绍/引荐', 'offset': [152, 154], 'trigger': '介绍', 'arguments': [{'mention': '绿色资产管理论坛', 'offset': [34, 42], 'role': '活动名称'}, {'mention': '10月18日', 'offset': [0, 6], 'role': '时间'}, {'mention': '上海资产管理协会监事长、中保投资有限责任公司总裁贾飙', 'offset': [7, 33], 'role': '地点'}]}]",
,2023-10-18
"[{'type': '介绍/引荐', 'offset': [151, 153], 'trigger': '介绍', 'arguments': [{'mention': '10月17日', 'offset': [0, 6], 'role': '时间'}, {'mention': '中国银行', 'offset': [45, 49], 'role': '约谈发起方'}]}, {'type': '签订合同/订立协议', 'offset': [99, 101], 'trigger': '协议', 'arguments': [{'mention': '10月17日', 'offset': [0, 6], 'role': '时间'}, {'mention': '中国银行', 'offset': [45, 49], 'role': '约谈发起方'}]}]",
,2023-10-18
"[{'type': '介绍/引荐', 'offset': [509, 511], 'trigger': '介绍', 'arguments': [{'mention': '近日', 'offset': [67, 69], 'role': '时间'}, {'mention': '招商银行', 'offset': [0, 4], 'role': '发布方'}]}, {'type': '介绍/引荐', 'offset': [30, 32], 'trigger': '盘查', 'arguments': [{'mention': '招商银行', 'offset': [0, 4], 'role': '发布方'}, {'mention': '近日', 'offset': [67, 69], 'role': '时间'}]}]",
,2023-10-17
"[{'type': '投资', 'offset': [53, 55], 'trigger': '投资', 'arguments': [{'mention': '阿根廷最大的风电项目群', 'offset': [59, 70], 'role': '投资-obj'}, {'mention': '2022年4月', 'offset': [194, 201], 'role': '投资-date'}, {'mention': '兴业银行', 'offset': [162, 166], 'role': '投资-sub'}, {'mention': '7150万美元', 'offset': [180, 187], 'role': '投资-money'}]}, {'type': '提供', 'offset': [178, 180], 'trigger': '提供', 'arguments': [{'mention': '兴业银行', 'offset': [162, 166], 'role': '投资-sub'}, {'mention': '7150万美元', 'offset': [180, 187], 'role': '投资-money'}, {'mention': '阿根廷最大的风电项目群', 'offset': [59, 70], 'role': '投资-obj'}, {'mention': '2022年4月', 'offset': [194, 201], 'role': '投资-date'}]}, {'type': '支付/给付', 'offset': [187, 189], 'trigger': '贷款', 'arguments': [{'mention': '兴业银行', 'offset': [162, 166], 'role': '投资-sub'}, {'mention': '7150万美元', 'offset': [180, 187], 'role': '投资-money'}, {'mention': '阿根廷最大的风电项目群', 'offset': [59, 70], 'role': '投资-obj'}, {'mention': '2022年4月', 'offset': [194, 201], 'role': '投资-date'}]}, {'type': '制造', 'offset': [11, 13], 'trigger': '制造', 'arguments': [{'mention': '2022年4月', 'offset': [194, 201], 'role': '投资-date'}, {'mention': '兴业银行', 'offset': [162, 166], 'role': '投资-sub'}, {'mention': '7150万美元', 'offset': [180, 187], 'role': '投资-money'}, {'mention': '阿根廷最大的风电项目群', 'offset': [59, 70], 'role': '投资-obj'}]}]",
,2023-10-17
"[{'type': '股份股权转让', 'offset': [150, 152], 'trigger': '发行', 'arguments': [{'mention': '10月16日', 'offset': [0, 6], 'role': '时间'}, {'mention': '纳斯达克迪拜交易所', 'offset': [12, 21], 'role': '地点'}, {'mention': '全球首批共建“一带一路”绿色债券上市摇铃仪式', 'offset': [24, 46], 'role': '活动名称'}]}, {'type': '投资', 'offset': [216, 220], 'trigger': '募集资金', 'arguments': [{'mention': '全球首批共建“一带一路”绿色债券上市摇铃仪式', 'offset': [24, 46], 'role': '活动名称'}, {'mention': '10月16日', 'offset': [0, 6], 'role': '时间'}, {'mention': '纳斯达克迪拜交易所', 'offset': [12, 21], 'role': '地点'}]}]",
,2023-10-17
"[{'type': '投资', 'offset': [9, 11], 'trigger': '投资', 'arguments': [{'mention': '华夏基金研究发展部执行总经理肖潇', 'offset': [30, 46], 'role': '投资-sub'}, {'mention': 'ESG基金', 'offset': [106, 111], 'role': '投资-obj'}]}]",
,2023-10-17
"[{'type': '股份股权转让', 'offset': [20, 22], 'trigger': '发行', 'arguments': [{'mention': '中国银行', 'offset': [7, 11], 'role': '股份股权转让-obj-org'}, {'mention': '10月12日', 'offset': [0, 6], 'role': '股份股权转让-date'}, {'mention': '超过20%', 'offset': [245, 250], 'role': '股份股权转让-proportion'}, {'mention': '3亿欧元', 'offset': [64, 68], 'role': '股份股权转让-money'}]}, {'type': '投资', 'offset': [20, 22], 'trigger': '发行', 'arguments': [{'mention': '3亿欧元', 'offset': [64, 68], 'role': '股份股权转让-money'}, {'mention': '中国银行', 'offset': [7, 11], 'role': '股份股权转让-obj-org'}, {'mention': '10月12日', 'offset': [0, 6], 'role': '股份股权转让-date'}, {'mention': '超过20%', 'offset': [245, 250], 'role': '股份股权转让-proportion'}]}]",
,2023-10-16
"[{'type': '投资', 'offset': [17, 19], 'trigger': '融资', 'arguments': [{'mention': '世界银行集团和国际货币基金组织年会', 'offset': [71, 88], 'role': '活动名称'}, {'mention': '摩洛哥马拉喀', 'offset': [61, 67], 'role': '地点'}, {'mention': '摩洛哥马拉喀', 'offset': [61, 67], 'role': '时间'}]}]",
,2023-10-16
"[{'type': '减持', 'offset': [60, 62], 'trigger': '减排', 'arguments': [{'mention': '生态环境部', 'offset': [78, 83], 'role': '发布方'}, {'mention': '10月12日', 'offset': [7, 13], 'role': '时间'}]}]",
,2023-10-16
"[{'type': '减持', 'offset': [22, 24], 'trigger': '减排', 'arguments': [{'mention': '九江银行', 'offset': [13, 17], 'role': '投资-sub'}, {'mention': '今年1月', 'offset': [197, 201], 'role': '时间'}]}]",
,2023-10-16
"[{'type': '投资', 'offset': [13, 15], 'trigger': '投资', 'arguments': [{'mention': '国科嘉和泉州基金', 'offset': [21, 29], 'role': '投资-obj'}, {'mention': '20亿元', 'offset': [35, 39], 'role': '投资-money'}]}]",
,2023-10-16
"[{'type': '减持', 'offset': [22, 24], 'trigger': '减排', 'arguments': [{'mention': '九江银行', 'offset': [13, 17], 'role': '投资-sub'}, {'mention': '今年1月', 'offset': [197, 201], 'role': '时间'}]}]",
,2023-10-13
"[{'type': '组织行为召开', 'offset': [25, 27], 'trigger': '召开', 'arguments': [{'mention': '10月11日', 'offset': [0, 6], 'role': '时间'}, {'mention': '中国人民银行研究业务条线', 'offset': [94, 106], 'role': '发布方'}, {'mention': '绿色金融体系', 'offset': [160, 166], 'role': '发布产品'}]}, {'type': '要求/请求', 'offset': [131, 133], 'trigger': '要求', 'arguments': [{'mention': '10月11日', 'offset': [0, 6], 'role': '时间'}, {'mention': '中国人民银行研究业务条线', 'offset': [94, 106], 'role': '发布方'}, {'mention': '绿色金融体系', 'offset': [160, 166], 'role': '发布产品'}]}]",
,2023-10-13
[],
,2023-10-13
"[{'type': '减持', 'offset': [17, 19], 'trigger': '减排', 'arguments': [{'mention': '日前', 'offset': [33, 35], 'role': '时间'}, {'mention': '生态环境部', 'offset': [35, 40], 'role': '发布方'}]}]",
,2023-10-12
"[{'type': '介绍/引荐', 'offset': [7, 9], 'trigger': '发布', 'arguments': [{'mention': '数字人民币与碳账户体系', 'offset': [943, 954], 'role': '发布产品'}, {'mention': '近期', 'offset': [0, 2], 'role': '时间'}, {'mention': '兴业研究', 'offset': [3, 7], 'role': '发布方'}]}]",
,2023-10-11
"[{'type': '要求/请求', 'offset': [180, 182], 'trigger': '倡导', 'arguments': [{'mention': '中国人民银行南京分行', 'offset': [145, 155], 'role': '质押-sub-org'}, {'mention': '江苏省生态环境', 'offset': [129, 136], 'role': '质押-sub-org'}, {'mention': '江苏省生态环境厅', 'offset': [129, 137], 'role': '质押-sub-org'}, {'mention': '排污权', 'offset': [20, 23], 'role': '质押-collateral'}, {'mention': '1亿元', 'offset': [36, 39], 'role': '质押-money'}, {'mention': '江苏省财政厅', 'offset': [138, 144], 'role': '质押-sub-org'}]}, {'type': '放贷', 'offset': [25, 27], 'trigger': '贷款', 'arguments': [{'mention': '中国人民银行南京分行', 'offset': [145, 155], 'role': '质押-sub-org'}, {'mention': '江苏省生态环境', 'offset': [129, 136], 'role': '质押-sub-org'}, {'mention': '江苏省财政厅', 'offset': [138, 144], 'role': '质押-sub-org'}, {'mention': '江苏省生态环境厅', 'offset': [129, 137], 'role': '质押-sub-org'}, {'mention': '1亿元', 'offset': [36, 39], 'role': '质押-money'}, {'mention': '排污权', 'offset': [20, 23], 'role': '质押-collateral'}]}]",
,2023-10-11
"[{'type': '介绍/引荐', 'offset': [959, 961], 'trigger': '介绍', 'arguments': [{'mention': '10月10日', 'offset': [0, 6], 'role': '时间'}, {'mention': '兴业银行', 'offset': [7, 11], 'role': '发布方'}, {'mention': '园区综合金融服务方案、基于企业碳账户的绿色园区服务方案、兴业-联东中小企业活跃度指数、兴业银行园区生态服务平台等多项园区金融专属产品', 'offset': [184, 250], 'role': '发布产品'}]}, {'type': '邀请/招揽', 'offset': [1028, 1030], 'trigger': '邀请', 'arguments': [{'mention': '园区综合金融服务方案、基于企业碳账户的绿色园区服务方案、兴业-联东中小企业活跃度指数、兴业银行园区生态服务平台等多项园区金融专属产品', 'offset': [184, 250], 'role': '发布产品'}, {'mention': '10月10日', 'offset': [0, 6], 'role': '时间'}, {'mention': '兴业银行', 'offset': [7, 11], 'role': '发布方'}]}]",
,2023-10-11
"[{'type': '投资', 'offset': [212, 214], 'trigger': '投资', 'arguments': [{'mention': '近日', 'offset': [0, 2], 'role': '时间'}, {'mention': '企业ESG优秀实践案例颁奖典礼', 'offset': [28, 43], 'role': '奖项'}, {'mention': '南方科技大学会计学讲席教授、会计学创系筹备负责人', 'offset': [233, 257], 'role': '获奖人'}]}, {'type': '介绍/引荐', 'offset': [114, 116], 'trigger': '发表', 'arguments': [{'mention': '企业ESG优秀实践案例颁奖典礼', 'offset': [28, 43], 'role': '奖项'}, {'mention': '南方科技大学会计学讲席教授、会计学创系筹备负责人', 'offset': [233, 257], 'role': '获奖人'}, {'mention': '近日', 'offset': [0, 2], 'role': '时间'}]}]",
,2023-10-11
"[{'type': '财经/交易融资', 'offset': [68, 70], 'trigger': '融资', 'arguments': [{'mention': '2030年和2060年', 'offset': [244, 255], 'role': '时间'}, {'mention': '中国', 'offset': [42, 44], 'role': '投资-sub'}, {'mention': '可再生能源发电装机容量', 'offset': [204, 215], 'role': '投资-obj'}]}]",
,2023-10-11
"[{'type': '介绍/引荐', 'offset': [1154, 1156], 'trigger': '介绍', 'arguments': [{'mention': '今年年底', 'offset': [219, 223], 'role': '时间'}]}, {'type': '组织行为开幕', 'offset': [158, 160], 'trigger': '举行', 'arguments': [{'mention': '今年年底', 'offset': [219, 223], 'role': '时间'}]}]",
,2023-10-11
"[{'type': '获利', 'offset': [76, 78], 'trigger': '荣获', 'arguments': [{'mention': '工商银行湖南分行', 'offset': [55, 63], 'role': '获奖人'}, {'mention': '近日', 'offset': [0, 2], 'role': '时间'}, {'mention': '“省级先进集体”', 'offset': [78, 86], 'role': '奖项'}]}, {'type': '获利', 'offset': [259, 261], 'trigger': '获得', 'arguments': [{'mention': '“省级先进集体”', 'offset': [78, 86], 'role': '奖项'}, {'mention': '工商银行湖南分行', 'offset': [55, 63], 'role': '获奖人'}, {'mention': '近日', 'offset': [0, 2], 'role': '时间'}]}]",
,2023-10-10
"[{'type': '质押', 'offset': [21, 23], 'trigger': '质押', 'arguments': [{'mention': '碳排放权', 'offset': [17, 21], 'role': '质押-collateral'}, {'mention': '大连洁净能源集团有限公司', 'offset': [3, 15], 'role': '质押-sub-org'}, {'mention': '1425万元', 'offset': [33, 39], 'role': '质押-money'}]}]",
,2023-10-10
"[{'type': 'transfermoney', 'offset': [104, 111], 'trigger': 'funding', 'arguments': []}, {'type': 'artifact', 'offset': [373, 381], 'trigger': 'produces', 'arguments': []}]",
,2023-10-10
"[{'type': '通知/提醒', 'offset': [17, 19], 'trigger': '发布', 'arguments': [{'mention': '截至2023年6月末', 'offset': [69, 79], 'role': '时间'}, {'mention': '298.11亿元', 'offset': [91, 99], 'role': '融资金额'}]}]",
,2023-10-10
"[{'type': '建议', 'offset': [72, 74], 'trigger': '提出', 'arguments': [{'mention': '连续2年', 'offset': [157, 161], 'role': '时间'}, {'mention': '气候投融资试点', 'offset': [112, 119], 'role': '发布产品'}]}, {'type': '要求/请求', 'offset': [226, 227], 'trigger': '让', 'arguments': [{'mention': '连续2年', 'offset': [157, 161], 'role': '时间'}, {'mention': '气候投融资试点', 'offset': [112, 119], 'role': '发布产品'}]}]",
,2023-10-09
"[{'type': '股份股权转让', 'offset': [13, 15], 'trigger': '发行', 'arguments': [{'mention': '该批绿色零售债券', 'offset': [72, 80], 'role': '发布产品'}, {'mention': '中国工商银行(亚洲)', 'offset': [221, 231], 'role': '发布方'}, {'mention': '10月6日', 'offset': [126, 131], 'role': '时间'}]}, {'type': '投资', 'offset': [13, 15], 'trigger': '发行', 'arguments': [{'mention': '该批绿色零售债券', 'offset': [72, 80], 'role': '发布产品'}, {'mention': '10月6日', 'offset': [126, 131], 'role': '时间'}, {'mention': '中国工商银行(亚洲)', 'offset': [221, 231], 'role': '发布方'}]}]",
,2023-10-08
"[{'type': '通知/提醒', 'offset': [38, 40], 'trigger': '发布', 'arguments': [{'mention': '9月26日', 'offset': [0, 5], 'role': '时间'}, {'mention': '京山中银富登村镇银行', 'offset': [28, 38], 'role': '发布方'}]}, {'type': '通知/提醒', 'offset': [48, 50], 'trigger': '报告', 'arguments': [{'mention': '9月26日', 'offset': [0, 5], 'role': '时间'}, {'mention': '京山中银富登村镇银行', 'offset': [28, 38], 'role': '发布方'}]}]",
,2023-10-08
"[{'type': '投资', 'offset': [15, 17], 'trigger': '融资', 'arguments': [{'mention': '8000万元', 'offset': [53, 59], 'role': '投资-money'}, {'mention': '沣东新城功能区安置小区供热工程连同管网项目', 'offset': [186, 207], 'role': '投资-obj'}, {'mention': '陕西自贸试验区', 'offset': [3, 10], 'role': '投资-sub'}]}]",
,2023-10-08
"[{'type': '通知/提醒', 'offset': [38, 40], 'trigger': '致函', 'arguments': [{'mention': '贝莱', 'offset': [8, 10], 'role': '起诉-obj-org'}, {'mention': '美国北卡罗来纳州公用事业委员会', 'offset': [40, 55], 'role': '起诉-sub-org'}, {'mention': '贝莱德', 'offset': [8, 11], 'role': '起诉-obj-org'}, {'mention': '杜克能源', 'offset': [3, 7], 'role': '起诉-obj-org'}]}, {'type': '要求/请求', 'offset': [357, 359], 'trigger': '要求', 'arguments': [{'mention': '杜克能源', 'offset': [3, 7], 'role': '起诉-obj-org'}, {'mention': '贝莱德', 'offset': [8, 11], 'role': '起诉-obj-org'}, {'mention': '贝莱', 'offset': [8, 10], 'role': '起诉-obj-org'}, {'mention': '美国北卡罗来纳州公用事业委员会', 'offset': [40, 55], 'role': '起诉-sub-org'}]}, {'type': '起诉', 'offset': [32, 34], 'trigger': '指控', 'arguments': [{'mention': '贝莱德', 'offset': [8, 11], 'role': '起诉-obj-org'}, {'mention': '贝莱', 'offset': [8, 10], 'role': '起诉-obj-org'}, {'mention': '杜克能源', 'offset': [3, 7], 'role': '起诉-obj-org'}, {'mention': '美国北卡罗来纳州公用事业委员会', 'offset': [40, 55], 'role': '起诉-sub-org'}]}]",
,2023-10-07
"[{'type': '投资', 'offset': [55, 57], 'trigger': '投资', 'arguments': [{'mention': '祁门县国有独资企业', 'offset': [85, 94], 'role': '投资-sub'}, {'mention': '3.1亿元', 'offset': [67, 72], 'role': '投资-money'}]}, {'type': '投资', 'offset': [81, 83], 'trigger': '贷款', 'arguments': [{'mention': '3.1亿元', 'offset': [67, 72], 'role': '投资-money'}, {'mention': '祁门县国有独资企业', 'offset': [85, 94], 'role': '投资-sub'}]}]",
,2023-10-07
"[{'type': '要求/请求', 'offset': [43, 45], 'trigger': '承诺', 'arguments': [{'mention': '韩国', 'offset': [0, 2], 'role': '捐赠方'}, {'mention': '3亿美元', 'offset': [30, 34], 'role': '捐赠金额'}]}, {'type': '支付/给付', 'offset': [155, 157], 'trigger': '出资', 'arguments': [{'mention': '3亿美元', 'offset': [30, 34], 'role': '捐赠金额'}, {'mention': '韩国', 'offset': [0, 2], 'role': '捐赠方'}]}, {'type': '支付/给付', 'offset': [27, 29], 'trigger': '筹措', 'arguments': [{'mention': '3亿美元', 'offset': [30, 34], 'role': '捐赠金额'}, {'mention': '韩国', 'offset': [0, 2], 'role': '捐赠方'}]}]",
,2023-10-07
"[{'type': '获利', 'offset': [235, 237], 'trigger': '新增', 'arguments': [{'mention': '湘潭县潭州新能源222MW屋顶分布式光伏发电项目', 'offset': [143, 167], 'role': '获奖人'}, {'mention': '近期', 'offset': [0, 2], 'role': '时间'}, {'mention': '湘投储能娄底涟源电化学储能电站项目', 'offset': [168, 185], 'role': '获奖人'}]}]",
,2023-09-28
"[{'type': '投资', 'offset': [172, 174], 'trigger': '投资', 'arguments': [{'mention': '超过5000亿元', 'offset': [125, 133], 'role': '投资-money'}, {'mention': '绿色债券', 'offset': [119, 123], 'role': '投资-obj'}, {'mention': '中国保险行业协会', 'offset': [81, 89], 'role': '投资-sub'}]}]",
,2023-09-28
"[{'type': '介绍/引荐', 'offset': [630, 632], 'trigger': '介绍', 'arguments': [{'mention': '埃及', 'offset': [193, 195], 'role': '地点'}, {'mention': '本月25日至26日', 'offset': [179, 188], 'role': '时间'}]}]",
,2023-09-28
"[{'type': '投资', 'offset': [124, 126], 'trigger': '投资', 'arguments': [{'mention': '8月16日', 'offset': [50, 55], 'role': '投资-date'}, {'mention': '新交所泛东南亚科技指数', 'offset': [194, 205], 'role': '投资-obj'}, {'mention': '华泰柏瑞基金', 'offset': [39, 45], 'role': '投资-sub'}]}]",
,2023-09-28
"[{'type': '投资', 'offset': [84, 86], 'trigger': '投资', 'arguments': [{'mention': '汇丰控股', 'offset': [0, 4], 'role': '投资-sub'}, {'mention': '可持续食品和农业以及除碳技术等行业的初创公司', 'offset': [32, 54], 'role': '投资-obj'}, {'mention': '10亿美元', 'offset': [59, 64], 'role': '投资-money'}]}, {'type': '通知/提醒', 'offset': [11, 13], 'trigger': '声明', 'arguments': [{'mention': '汇丰控股', 'offset': [0, 4], 'role': '投资-sub'}, {'mention': '可持续食品和农业以及除碳技术等行业的初创公司', 'offset': [32, 54], 'role': '投资-obj'}, {'mention': '10亿美元', 'offset': [59, 64], 'role': '投资-money'}]}, {'type': '支付/给付', 'offset': [78, 80], 'trigger': '拨出', 'arguments': [{'mention': '可持续食品和农业以及除碳技术等行业的初创公司', 'offset': [32, 54], 'role': '投资-obj'}, {'mention': '汇丰控股', 'offset': [0, 4], 'role': '投资-sub'}, {'mention': '10亿美元', 'offset': [59, 64], 'role': '投资-money'}]}]",
,2023-09-28
"[{'type': '投资', 'offset': [76, 78], 'trigger': '投资', 'arguments': []}]",
,2023-09-28
"[{'type': '减持', 'offset': [18, 20], 'trigger': '减少', 'arguments': [{'mention': '可再生能源产能', 'offset': [142, 149], 'role': '发布产品'}, {'mention': '周二', 'offset': [101, 103], 'role': '时间'}, {'mention': 'IEA', 'offset': [97, 100], 'role': '发布方'}]}]",
,2023-09-27
[],
,2023-09-27
"[{'type': '投资', 'offset': [146, 148], 'trigger': '投资', 'arguments': [{'mention': '招商银行', 'offset': [61, 65], 'role': '发布方'}, {'mention': '9月25日', 'offset': [55, 60], 'role': '时间'}, {'mention': '绿色贷款', 'offset': [183, 187], 'role': '发布产品'}]}]",
,2023-09-27
"[{'type': '投资', 'offset': [180, 182], 'trigger': '投资', 'arguments': [{'mention': '招商银行', 'offset': [6, 10], 'role': '发布方'}, {'mention': '9月25日', 'offset': [0, 5], 'role': '时间'}]}, {'type': '介绍/引荐', 'offset': [441, 443], 'trigger': '介绍', 'arguments': [{'mention': '9月25日', 'offset': [0, 5], 'role': '时间'}, {'mention': '招商银行', 'offset': [6, 10], 'role': '发布方'}]}]",
,2023-09-26
[],
,2023-09-26
"[{'type': '投资', 'offset': [76, 78], 'trigger': '投资', 'arguments': [{'mention': '空头头寸', 'offset': [17, 21], 'role': '股份股权转让-collateral'}]}, {'type': '股份股权转让', 'offset': [76, 78], 'trigger': '投资', 'arguments': [{'mention': '空头头寸', 'offset': [17, 21], 'role': '股份股权转让-collateral'}]}]",
,2023-09-26
[],
,2023-09-25
"[{'type': '要求/请求', 'offset': [13, 15], 'trigger': '承诺', 'arguments': [{'mention': '世界', 'offset': [7, 9], 'role': '约谈对象'}, {'mention': '三年前', 'offset': [0, 3], 'role': '时间'}, {'mention': '中国向世界', 'offset': [4, 9], 'role': '约谈发起方'}]}]",
,2023-09-25
"[{'type': '介绍/引荐', 'offset': [190, 192], 'trigger': '提出', 'arguments': [{'mention': '22日到24日', 'offset': [63, 70], 'role': '时间'}, {'mention': '上海', 'offset': [71, 73], 'role': '地点'}, {'mention': '第五届外滩金融峰会', 'offset': [76, 85], 'role': '活动名称'}]}]",
,2023-09-25
"[{'type': '支付/给付', 'offset': [190, 192], 'trigger': '出资', 'arguments': [{'mention': '巴黎协定', 'offset': [103, 107], 'role': '投资-obj'}, {'mention': '发达国家', 'offset': [171, 175], 'role': '投资-sub'}]}]",
,2023-09-25
[],
,2023-09-25
"[{'type': '投资', 'offset': [192, 194], 'trigger': '投资', 'arguments': [{'mention': '近日', 'offset': [0, 2], 'role': '投资-date'}, {'mention': '兴业银行', 'offset': [3, 7], 'role': '投资-sub'}, {'mention': '21.3亿元', 'offset': [51, 57], 'role': '投资-money'}, {'mention': '漳州市九龙江集团有限公司', 'offset': [16, 28], 'role': '投资-obj'}]}, {'type': '股份股权转让', 'offset': [30, 32], 'trigger': '发行', 'arguments': [{'mention': '兴业银行', 'offset': [3, 7], 'role': '投资-sub'}, {'mention': '21.3亿元', 'offset': [51, 57], 'role': '投资-money'}, {'mention': '漳州市九龙江集团有限公司', 'offset': [16, 28], 'role': '投资-obj'}, {'mention': '近日', 'offset': [0, 2], 'role': '投资-date'}]}, {'type': '投资', 'offset': [30, 32], 'trigger': '发行', 'arguments': [{'mention': '兴业银行', 'offset': [3, 7], 'role': '投资-sub'}, {'mention': '漳州市九龙江集团有限公司', 'offset': [16, 28], 'role': '投资-obj'}, {'mention': '近日', 'offset': [0, 2], 'role': '投资-date'}, {'mention': '21.3亿元', 'offset': [51, 57], 'role': '投资-money'}]}]",
,2023-09-25
"[{'type': '建议', 'offset': [52, 54], 'trigger': '建议', 'arguments': [{'mention': '第五届外滩金融峰会', 'offset': [17, 26], 'role': '活动名称'}, {'mention': '外滩', 'offset': [20, 22], 'role': '地点'}, {'mention': '9月22日至24日', 'offset': [5, 14], 'role': '时间'}]}]",
,2023-09-25
"[{'type': '投资', 'offset': [217, 219], 'trigger': '投资', 'arguments': [{'mention': '21日', 'offset': [0, 3], 'role': '时间'}, {'mention': '越南国家银行', 'offset': [16, 22], 'role': '地点'}]}]",
,2023-09-22
